Quant. Elementos;Busca Linear Comp;Busca Linear Tempo;Busca Linear Recursiva Comp;Busca Linear Recursiva Tempo;Busca Binaria Comp;Busca Binaria Tempo;Busca Binaria Recursiva Comp;Busca Binaria Recursiva Tempo;
100000000;100000000;0.225914;-1;-1;26;0.000002;26;0.000001;
200000000;200000000;0.504001;-1;-1;27;0.000002;27;0.000001;
300000000;300000000;0.675962;-1;-1;28;0.000002;28;0.000001;
400000000;400000000;0.901510;-1;-1;28;0.000002;28;0.000001;
500000000;500000000;1.126248;-1;-1;29;0.000002;29;0.000001;
600000000;600000000;1.351503;-1;-1;29;0.000002;29;0.000001;
700000000;700000000;1.576920;-1;-1;29;0.000002;29;0.000001;
800000000;800000000;1.801748;-1;-1;29;0.000002;29;0.000001;
900000000;900000000;2.026609;-1;-1;30;0.000002;30;0.000001;
1000000000;1000000000;2.251768;-1;-1;30;0.000002;30;0.000001;
1100000000;1100000000;2.475943;-1;-1;30;0.000002;30;0.000001;
1200000000;1200000000;2.701216;-1;-1;30;0.000002;30;0.000001;
1300000000;1300000000;2.926251;-1;-1;30;0.000003;30;0.000001;
1400000000;1400000000;3.150586;-1;-1;30;0.000001;30;0.000001;
1500000000;1500000000;3.376608;-1;-1;30;0.000002;30;0.000001;
1600000000;1600000000;3.601239;-1;-1;30;0.000002;30;0.000001;
1700000000;1700000000;3.826417;-1;-1;31;0.000003;31;0.000001;
1800000000;1800000000;4.050175;-1;-1;31;0.000002;31;0.000001;
1900000000;1900000000;4.276939;-1;-1;31;0.000002;31;0.000001;
2000000000;2000000000;4.500762;-1;-1;31;0.000002;31;0.000001;
