Quant. Elementos;Insertion Sort Comp;Insertion Sort Tempo;Insertion Sort Rec Comp;Insertion Sort Rec Tempo;Selection Sort Comp;Selection Sort Tempo;Selection Sort Rec Comp;Selection Sort Rec Tempo;Merge Sort Rec Comp;Merge Sort Rec Tempo;
5000;51833;0.116581;51833;0.118762;12497500;0.029955;12497500;0.029721;29804;0.000411;
10000;113643;0.548321;113643;0.547250;49995000;0.119705;49995000;0.118024;64608;0.000865;
15000;178643;1.206558;178643;1.233254;112492500;0.268366;112492500;0.265360;102252;0.001353;
20000;247261;1.743502;247261;2.161852;199990000;0.476580;199990000;0.472164;139216;0.001845;
25000;317261;3.420603;317261;3.426860;312487500;0.745404;312487500;0.738087;178756;0.002329;
30000;387261;4.227876;387261;4.733440;449985000;1.071711;449985000;1.063794;219504;0.003497;
35000;459495;5.337551;459495;6.705691;612482500;1.459349;612482500;1.448632;260100;0.003469;
40000;534495;4.023123;534495;8.205314;799980000;1.905883;799980000;1.893419;298432;0.004262;
45000;609495;5.092373;609495;10.318091;1012477500;2.409775;1012477500;2.392439;339340;0.004583;
50000;684495;6.280447;684495;13.657211;1249975000;2.969557;1249975000;2.956909;382512;0.005019;
55000;759495;7.600020;759495;16.529825;1512472500;3.594381;1512472500;3.575479;424028;0.006193;
60000;834495;9.043725;834495;19.195189;1799970000;4.273627;1799970000;4.253268;469008;0.006324;
65000;909495;10.614353;909495;22.126795;2112467500;5.022833;2112467500;5.001222;518092;0.007584;
70000;988961;12.308789;988961;25.489582;2449965000;5.824272;2449965000;5.794686;555200;0.008812;
75000;1068961;14.139810;1068961;29.274662;2812462500;6.689469;2812462500;6.652079;594612;0.007820;
80000;1148961;16.090246;1148961;33.506519;3199960000;7.611934;3199960000;7.573002;636864;0.008310;
85000;1228961;18.155632;1228961;37.627702;3612457500;8.580058;3612457500;8.550327;678956;0.008896;
90000;1308961;20.315214;1308961;43.738754;4049955000;9.632211;4049955000;9.577161;723680;0.009597;
95000;1388961;22.645405;1388961;47.334502;4512452500;10.722890;4512452500;10.676496;768708;0.010112;
100000;1468961;25.079495;1468961;53.692944;4999950000;11.896842;4999950000;11.837824;815024;0.010533;
