Quant. Elementos;Insertion Sort Comp;Insertion Sort Tempo;Insertion Sort Rec Comp;Insertion Sort Rec Tempo;Selection Sort Comp;Selection Sort Tempo;Selection Sort Rec Comp;Selection Sort Rec Tempo;Merge Sort Rec Comp;Merge Sort Rec Tempo;
25000;317261;1.622181;317261;3.349099;312487500;0.743440;312487500;0.737179;178756;0.002387;
50000;734480;0.003656;684495;13.155662;1249975000;2.972195;1249975000;2.951425;382512;0.005058;
75000;1143945;0.005699;1068961;29.958833;2812462500;6.677233;2812462500;6.649649;594612;0.007814;
100000;1568945;0.007836;1468961;51.422003;4999950000;11.869322;4999950000;11.821881;815024;0.010559;
125000;1993945;0.009985;-1;-1;7812437500;18.531200;-1;-1;1048124;0.013430;
150000;2437874;0.012243;-1;-1;11249925000;26.572318;-1;-1;1264224;0.016336;
175000;2887874;0.014456;-1;-1;15312412500;36.146925;-1;-1;1487772;0.019243;
200000;3337874;0.016797;-1;-1;19999900000;47.211385;-1;-1;1730048;0.022160;
225000;3787874;0.019136;-1;-1;25312387500;59.746227;-1;-1;1966796;0.025212;
250000;4237874;0.021397;-1;-1;31249875000;73.756234;-1;-1;2221248;0.029411;
275000;4700731;0.024052;-1;-1;37812362500;89.232250;-1;-1;2457724;0.033749;
300000;5175731;0.027409;-1;-1;44999850000;106.204897;-1;-1;2678448;0.034270;
325000;5650731;0.030237;-1;-1;52812337500;124.650447;-1;-1;2918284;0.043551;
350000;6125731;0.033783;-1;-1;61249825000;144.534079;-1;-1;3150544;0.047151;
375000;6600731;0.036869;-1;-1;70312312500;166.006236;-1;-1;3402804;0.046619;
400000;7075731;0.039592;-1;-1;79999800000;188.981517;-1;-1;3660096;0.050482;
425000;7550731;0.043463;-1;-1;90312287500;213.464139;-1;-1;3903868;0.054506;
450000;8025731;0.046159;-1;-1;101249775000;239.371322;-1;-1;4158592;0.059033;
475000;8500731;0.049452;-1;-1;112812262500;266.491417;-1;-1;4421836;0.062662;
500000;8975731;0.052421;-1;-1;124999750000;295.461446;-1;-1;4692496;0.067557;
